Tenant,Community,Corporate,Degree
TOPS DAILY,3,CRC,7
TPARTNER,3,,27
TRUE,3,,38
U R THE,3,,12
UNIQLO,3,,35
UOB XPRESS,3,,18
WATSONS,3,,43
WHITE STORY,3,,20
XIAOMI,3,,35
YAMAZAKI,3,,23
YAYOI,3,,36
YOGURUTO,3,,23
YUEDPAO,3,,34
YUMEYA,3,,10
YVES ROCHER,3,,34
ZELYN,3,,7
itgo,3,,18
กาแฟพันธุ์ไทย,3,,13
ก๋วยเตี๋ยวเรือพระนคร,3,,19
ชาตรามือ,3,,29
ธนาคารกรุงศรีอยุธยา,3,,35
ธนาคารกรุงเทพ,3,,36
ธนาคารทหารไทยธนชาต,3,,32
ธนาคารไทยพาณิชย์,3,,35
ลาวญวน,3,,26
วากาชิ,3,,9
สถาบันสอนภาษาและคอมพิวเตอร์ อีซีซี,3,,5
สลากเศรษฐี,3,,5
ห้างทองหวังโต๊ะกังเยาวราช,3,,20
ห้างทองเยาวราชกรุงเทพ,3,,15
เซ่งเฮง,3,,16
แหลมเจริญูซีฟู้ด,3,,18
CURIOO KIDS LANGUAGE SCHOOL,3,,4
J&T EXPRESS,3,,7
KARIS,3,,5
KEDMA COSMETIC,3,,3
KROTON,3,,3
OISHI BIZTORO/โออิชิ บิซโทโระ,3,,3
OUTDOOR BOTANICA BY ELEMENT 72,3,,4
P PROM,3,,3
PAINT N PLAY,3,,4
นวดน้า,3,,4
ปังสยาม,3,,12
Bowcake,3,,4
FRESH ME,3,,3
HAIR D'CRAFT,3,,3
HELLO MOBILE,3,,3
KAYAJIT,3,,4
KIDS NINETY9,3,,3
KITTIN,3,,4
ROBINSON,3,,5
TOMORROW,3,,3
ปอก-โท-สับ,3,,3
MIZUNO,3,,3
@ NAIL,3,,3
MO-MO-PARADISE,3,,15
MUSIC COLLECTION,3,,7
PEPPER LUNCH,3,CRG,20
PRADAP,3,,25
SEECHA,3,,23
SIZZLER,3,,35
TOPS SUPERMARKET,3,CRC,26
ธนาคารกสิกรไทย,3,,34
ธนาคารออมสิน,3,,32
ฮะจิบัง ราเมน,3,,35
ALLDAY SHOES,3,,4
ATM BANGKOK BANK,3,,12
BAIMIANG,3,,9
BAR-B-Q PLAZA,3,,34
BLACK CANYON COFFEE,3,,10
BOOMERANG,3,,3
CHILLICHIC,3,,5
CIMB THAI BANK,3,,11
CITY CHAIN,3,,3
Central Department Store,3,,21
DAISO,3,,24
EXPORT SHOP,3,,7
FOOD PATIO,3,,3
H&M,3,,14
HIGH SCHOOL,3,,15
HONOR,3,,8
HUAWEI,3,,32
ILY,3,,4
JAY MART,3,,28
K.ACCESSORIES,3,,9
KATSUYA,3,CRG,21
KRUNGSRI FIRST CHOICE,3,,11
LABX,3,,13
LAGRACE CLINIC,3,,5
MAJOR CINEPLEX,3,,18
MAKOTO,3,,22
MAMIL,3,,7
MCDONALD'S,3,,6
MODERN AIR,3,,8
MR. BAG FIX,3,,3
MX CAKES & BAKERY,3,,5
Maitreechit,3,,7
NITIPON CLINIC,3,,29
OPTIC SQUARE,3,,15
OPTICAL 88,3,,11
PANDORA,3,,24
PLAYGROUND,3,,7
PREM BAG AND CLOTHES,3,,5
PUFF,3,,4
S&P BAKERY,3,,8
SAEMAEUL EXPRESS,3,,4
SOOD's,3,,10
STUDIO 7,3,,11
T.TIME,3,,5
TADA,3,,3
UMAY PLUS,3,,16
VAN SERVICE,3,,3
VIVO,3,,25
WAGASHI ขนมญี่ปุ่น,3,,7
WITH IT,3,,23
ธนาคารยูโอบีจำกัด (มหาชน),3,,18
ผลไม้,3,,3
ร้านไปรษณีย์ไทย,3,,11
เก้าอี้นวด เอสเคเอส,3,,6
NOBICHA,3,,4
ANELLO,3,,23
ASICS,3,,16
BATH&BODY WORKS,3,,16
BKK DIAMOND,3,,23
CHARLES & KEITH,3,,22
CONVERSE,3,,29
DYSON,3,,26
FITFLOP,3,,29
GAGA,3,,29
GIORDANO,3,,37
I STUDIO,3,,20
JASPAL,3,,30
JUBILEE,3,,30
LACOSTE,3,,25
LEVI'S,3,,23
MIXUE,3,,23
MOLTO,3,,14
MUJI,3,CRC,16
PRO CLEAN,3,,24
SALAD FACTORY,3,CRG,12
SUSHIRO,3,,15
WRANGLER,3,,24
YAMAHA MUSIC SCHOOL,3,,12
ASUS,3,,10
BREADTALK,3,,15
DR.PONG,3,,16
FITNESS FIRST,3,,9
INTERLINK,3,,14
JOYLIDAY PLUS,3,,14
KUMON,3,,5
OLINO CREPE & TEA,3,,17
OOTOYA,3,CRG,20
PLAYBOY,3,,24
Robinson Department Store,3,,10
THE VIRIYAH INSURANCE,3,,10
UIH,3,,21
VERRA,3,,8
กรุงศรี เฟิร์สช้อยส์,3,,13
กรุงเทพประกันภัย,3,,17
เมืองไทยประกันชีวิต,3,,12
AES CLASS CLINIC,3,,8
APPLE HOUSE,3,,6
AUTO 1,3,,12
BAKE A WISH,3,,11
BEAUTY BUFFET,3,,7
BOSTANTEN,3,,12
CURIOO KIDS,3,,8
DTAC,3,,8
DTAC HALL,3,,15
EAT AM ARE,3,,5
FIXIFOOT,3,,20
HOKKAIDO BAKED CHEESE TART/ SECRET RECIPE,3,,6
INFINITY MEDICAL CLINIC,3,,12
MC DONALD'S,3,,11
ME DESIGN,3,,9
MIDDLE CAT,3,,4
MINIMELTS THAILAND,3,,5
MOTTA SHOP,3,,8
OPATRA,3,,6
SAMSUNG MOBILE,3,,18
SANTAFE',3,,15
SLIM UP CENTER,3,,4
SUKISHI,3,,9
