Tenant,MallCount
KAITHONG,2
CHICCO,2
AIS DIGITAL ARENA,2
SANRIO,2
VALUE PLUS CURRENCY EXCHANGE,2
GIZMO,2
GUERLAIN,2
CLAUDIA KLEID BLACK&WHITE,2
LUCKY MILK,2
TOKUYO,2
METICULOUS,2
EYE LEVEL,2
LAMY,2
YOMIE'S RICE X YOGURT,2
PASO,2
CHARLOTTE TILBURY,2
PRANAKORN NOODLE,2
NT,2
NATIVE,2
THAMES,2
STACCATO,2
FURLA,2
SUSHI EXPRESS,2
PICO,2
SOS,2
TOKYO OPTIC,2
SANTA BARBARA,2
BEN'S COOKIES,2
APPLE HOUSE,2
VOLCOM,2
AMERICAN EAGLE OUTFITTERS,2
T-KITCHEN,2
KHAKI BROS,2
HEDGREN,2
S&P BAKERY,2
IKEA,2
BIG C,2
P.A. PHONE,2
HASUL,2
RNG,2
LANVIN,2
GQ SOCKS,2
THE SKIN DOCTORS,2
SAFETY JOGGER,2
SIRENA,2
LOJEL,2
STANLEY,2
RITUALS,2
HOURGLASS,2
CHAKAI,2
BEVERLY HILLS,2
DAKASI MILKTEA,2
QUALITY KIDS,2
PENG GEE,2
PARIN GEMS,2
KRUNGSRI FRIST CHOICE,2
SENGHENG,2
THIRTY LOVE,2
PRETTY FIT,2
MAGO FOOTWEAR,2
BEYOND THE VINES,2
HOKA,2
EVISU GENES,2
CRAZY STEP,2
POP MART,2
THE HAIR CARE'S,2
GQ UNDERWEAR,2
OWL CHA,2
DEVES INSURANCE,2
GOOD GOODS,2
FIRE TIGER BY SEOULCIAL CLUB,2
KPN,2
MAITREECHIT,2
THE LITTLE GYM,2
MAGNANO,2
TUTOR HOUSE,2
BRAIN SCHOOL,2
PHONPASSTRA,2
PASSPORT CENTER,2
USPOLO ASSN,2
MANDARIN,2
TIMBUK2,2
GLOBLEX SECURITIES,2
ORIS,2
MANWOOD,2
KWANG THONG SPECIAL,2
O.W.L.,2
JIAN CHA TEA,2
BLUE CORNER,2
FLASH EXPRESS,2
CENTRAL HOME,2
SARAMANDA,2
KHANOM JEEN BANGKOK,2
JD SPORTS,2
PANKAN,2
UOB BANK,2
KUAYTEAWRERVOYVAY,2
HAOLE CHINESE LANGUAGE SCHOOL,2
BUTTER SCOTCH,2
LEE WRANGLER,2
SAMSUNG SERVICE,2
ZHANG LIANG,2
WILSON,2
DIN TAI FUNG,2
BFF,2
GOODY,2
BVLGARI,2
MANTENDO,2
JAMBA JUICE,2
ORIENTAL JEWELRY & GOLD,2
JINTA MUSIC,2
CPS COFFEE,2
LOLITA,2
CHRISTIAN DIOR,2
TOT,2
STJAMES,2
ROOKIE USA,2
HAMILTON,2
ZOJIRUSHI,2
SEACRET,2
ERGO INSURANCE,2
TEDDY HOUSE,2
GOVERNMENT SERVICE POINT,2
ARTY,2
WHANGTOHKANG,2
HIT GALLERIA,2
OHAYO,2
WET BRUSH,2
AT BED,2
MK RESTAURANT,2
KHRUA PHRIK SOT,2
LAO-YUAN,2
MIKI MIKI,2
BATH AND BODY WORKS,2
LUXURY หมอนโรงแรม 6 ดาว,2
GOPRO,2
CURIOOKIDS,2
JOLI SNOB,2
ALTO COFFEE ROASTERS,2
KENZO,2
LITTLE CHOUX,2
MIU MIU,2
PLAY SOUND,2
GELATE,2
SUSHI SEKI,2
MASSAGE CHAIR NXN,2
MLAB,2
NAIL HOME & SPA,2
JURLIQUE,2
JIENG FISH BALL,2
PETCLUB,2
BONITA EXCLUSIVE,2
SALOMON,2
TTN,2
ZHANGLIANG MALATANG,2
IT'S SKIN,2
LIVING DOLLS,2
BATH&BODY WORK,2
MOSHI,2
PERFECT 10,2
GRISON,2
KMD,2
SKECHERS FOAMIES,2
BABY HILLS,2
PLAIN PLAIN BY NOI,2
BARON'S BAR BY THE CHEESE BARON,2
MAE ME KWAO SOI,2
SKINNY SPOON,2
BAAN YING,2
DC,2
AURORA DIAMOND,2
GIAN FERRENTE,2
EXPRESSIONS,2
SKII,2
GRAZIOSA DIAMOND,2
KIDS ZONE,2
TIME DECO,2
BEAUTY UNIQUE,2
MISTER EYES,2
CYBORG KONG,2
TADA,2
ATMOS,2
BERRER,2
SECRET RECIPE,2
KAMIMURA,2
CAFE AMAZON,2
BOWCAKE,2
PAVEMENT,2
PRADA,2
SIAM RAMA III MUSIC SCHOOL,2
MOMIZU HOUSE,2
DESTINY CLINIC,2
IROHA RAMEN,2
PAZZION,2
PANCAKE CAFÉ,2
FOUR SEASONS,2
THANK YOU CUP,2
LIKE DENTAL CLINIC,2
KUMO CREATIVE STUDIO BY CLAYWORKS,2
ELEPH,2
HARBORLAND,2
THE MARC JACOBS,2
NIKE FACTORY STORE,2
ANDREW BROWN,2
PAUL SMITH,2
NAMTAOHUU PU PLA,2
SE-ED,2
XIAO FUWANG,2
BHC CHICKEN,2
IPSA,2
KANE,2
AX ARMANI EXCHANGE,2
7TH STREET,2
GOVERNMENT COUNTER SERVICE,2
DERMALOGICA,2
PACAMARA,2
ELIZABETH,2
NICHIWORLD,2
