Tenant,Eigenvector
TOMMY HILFIGER,0.0215958959775691
MANWOOD,0.02158734336509063
CAROLINA HERRERA,0.021528632529335495
WSP,0.021524757679107075
MR. SHAKE,0.021518512172208463
ALBA,0.021485212464114424
SUKIYA,0.021478599381332807
PHILIPS LIGHTING,0.021441952548467043
LUXOPTIC,0.021440213862313866
WAGASHI,0.02140771107912977
ECHOLAC,0.021329926232634612
PRETTY FIT,0.021303724155697097
BOWLING,0.02127724769094115
BRUSTA,0.02126305893479221
ATTITUDE MOM,0.021255834569477907
INFINITY MEDICAL CLINIC,0.02123756101346027
MIKIKO,0.02117436271954325
SOBBLE,0.021161081987455956
CHELSEE,0.021043345564368505
ECCO,0.02098264781338121
LOUIS FONTAINE,0.020968070989161067
NUM NOMS,0.020850006162937296
GOLD MASTER,0.020835155895539147
BONJOUR,0.020814272117391657
FREEWOOD,0.02078411316551989
ESTHER BUNNY,0.020777045408605452
USPOLO ASSN,0.020777045408605452
FRN,0.020767647239966297
WHOO,0.020707502372130093
HUA SENG HONG,0.02049880270502863
JIAN CHA,0.02045389587743394
LUMIA,0.020389809849634136
CHAMPION,0.020369170991822547
MONTIPA,0.020365685939080072
ร้านไปรษณีย์ไทย,0.020319718873575216
B SA B,0.020301381039447453
HUGGIES,0.02027116966412443
LOURSON,0.020245753580040438
REMINGTON,0.02024234009877815
ANTA,0.020239259328683513
SANTA BARBARA,0.020184613683216644
CLE DE PEAU BEAUTE,0.020159227899866003
JOLI SNOB,0.02013621636125445
TANITA,0.0200116110042957
THE VIRIYAH INSURANCE,0.019978963714703927
STACCATO,0.019968327560240185
DISNEY JEANS,0.019894881079608035
ELIZABETH,0.019830738786821563
CHONGDEE TEAHOUSE,0.01979693503794926
3M,0.019764021731784796
POKEMON DEES SUPREME,0.019688049419959015
ฉันจะกินชาเย็นทุกวัน,0.019671636520684235
UNDER ARMOUR,0.01966529283758429
DICKIES,0.01964785261058562
LOCCITANE,0.01960040979820105
BUMKINS,0.019586043129017613
INFANTINO,0.019560691496113933
NAUTICA,0.019560691496113933
MC DONALD'S,0.019559641093475313
TIEWRUASAOWAREE,0.019451418137622616
PACO RABANNE,0.019393905065170795
BANDAI KIDZ&KITZ,0.019378731249564105
HITACHI,0.019342589270565144
WIENNA,0.019330083976404948
AQUA COSMETICS,0.019325895226984118
YAKINIKU LIKE,0.01931938995149358
BLOOMING HOUSE,0.01926837070972384
NECA,0.019174240420927094
SUKISHI CHARCOAL GRILL,0.019134995957433683
BALLARINI,0.019114334142637607
ASIA BOOKS,0.019060878570958204
BILLABONG,0.018930129396876695
OXO,0.01888137802115403
CIRCULON,0.018842981957373252
KIATNAKIN PHATRA BANK,0.018785894878800714
MITH,0.01875425955523026
CLAUDIA KLEID WEEKEND,0.018732454450837096
ENERGIZER,0.018726315400427386
PEPPA PIG,0.018722737122742816
ANGEL BRA BRA,0.018598108267369802
Bringhome thebacon,0.018514437626924746
DANIEL WELLINGTON,0.018514437626924746
A'MAZE,0.01848665822674182
ERGOTREND,0.01833195170477892
ZUS COFFEE,0.018126500512103755
KAWAI MUSIC SCHOOL,0.01812422521013801
HELLO KITTY WD,0.018053224708674463
LEAP FROG,0.01803583144877581
HAAGEN-DAZS,0.018031119797732028
TELLME,0.017966200356122515
SENSO,0.017965208378374987
DILAVIE,0.017950328615594376
BOSTANTEN,0.017918904967979623
HUROM,0.017901175873955587
AUTO 1,0.017843940712277802
PAZZION,0.01781363574151101
MANGO,0.017727477594237134
ARTY,0.017700142254598403
AIS SERENADE,0.017650901704606134
OOFOS,0.01764868041891766
GUND KIDDO,0.017573136859142434
SMILEYHOUND,0.017544670743962588
MINISO,0.017455422969300756
OISHI RAMEN,0.017439709840647657
IPPUDO,0.017393447975568646
EYE LAB,0.017389363165745624
V SQUARE CLINIC,0.017385960487312967
LUNA,0.017371302387373378
กาแฟพันธุ์ไทย,0.017361449442020123
SUKISHI,0.017310288114629688
คันเซย์ ซูชิ,0.017267423046494156
BLACK CANYON COFFEE,0.017196914951522264
BABIES GENIUS,0.01718020750058819
MARIMEKKO,0.01717527987772763
COZY N SAFE,0.017105053021512672
KLIN,0.01704303659192033
ALAIN DELON,0.01702301596070952
PENGUIN,0.017013848688953913
MINT,0.016951815762866498
BARON'S BAR BY THE CHEESE BARON,0.016903725905413832
DONNA CHANG,0.01688213778664467
REMAX,0.016836319878463214
FREDERIQUE CONSTANT,0.016806225932305612
TISCO BANK,0.016805583234635803
EMPORIO ARMANI,0.01675918119686639
MOS BURGER,0.01673386907926156
MEDELA,0.01670630339592647
MISSLENS,0.01668398557326924
CURIOO KIDS,0.016659167813364347
K.ACCESSORIES,0.016656119345504143
MRBIG,0.016635191030174246
ARI FOOTBALL,0.01658815395283692
BABY BRIGHT,0.01657084626693939
TWIN FISH,0.0165707761733592
SPAGHETTI FACTORY,0.016563270416899492
LH BANK,0.016562292628991702
GRISON,0.01654576197491381
DAVIE JONES,0.016506640512040475
ZAAB ELI,0.016460771855790063
SCOOT AND RIDE,0.016439116174365477
NYLA,0.01635779202520794
BABI MILD,0.016344599079637506
TEMPUR PEDIC,0.016337775900826437
MODERN AIR,0.01632305416921735
AMAXS,0.01626407094439641
BUTTERFLY THAI PERFUME,0.016232656152086872
UNO COFFEE,0.016209494696526366
STUDIO 7,0.016131773279937145
CLOTHVIBES,0.016115823615050616
RITUALS,0.016108506859507453
HOM,0.016066325873820602
ZARA,0.016056132930040184
KIDS STEP,0.016051823405732045
BLOKEES,0.01602947372548311
FARLIN,0.015938980198063103
PAPA,0.015938980198063092
MERGE,0.015929062095549035
COLUMBIA,0.01584866638261195
SERVICE,0.015846570600892708
GENTLE STYLES,0.015829992970744507
KUMPOON,0.015799896585045794
PHOTOISM,0.015775495036588868
STRACK YUM,0.015690580609558222
SOOD's,0.015586154647235161
THOMAS WD,0.015559632438327644
FOODPATIO,0.015462767645619957
PLY,0.015438969226171603
MOPLAY,0.015428748330808194
TONKATSU WAKO,0.015248021109896495
WARAPORN SALAPAO,0.015242502274397253
ASUS,0.015224582901394413
CALBEE KAITSUKA,0.015215632900247935
TIME CLINIC,0.015202703436073451
MCM,0.015110655184815287
KYO ROLL EN,0.014994891673943363
VALENTINO RUDY,0.01498859364428391
CLOUD 9,0.014932941878367545
UNDER ME,0.014925669703453591
NATUR,0.014909964570504551
COFFEE WORLD,0.014881034505636586
KAMU TEA,0.014874234024341982
FOCUS SHOP,0.014872459749171478
ล่าเมียว,0.014863799525399075
LAMPTAN,0.014830572135507208
HOLSTER,0.014819607275512035
LILY ROSE,0.01481499451001573
FOFO,0.014800663553781635
LABOTTE,0.014764337393537086
BAIMIANG,0.014761188517999232
HOMEBOY,0.014718778983580654
