Tenant,CompositeScore,GNN_Prediction,Category
ELISEES,0.027032234,0.031453803,Robinson Department Store
DRESS CODE,0.027300904,0.031453803,Robinson Department Store
LITTLE BABY,0.05188396,0.031140272,Robinson Department Store
ELITE,0.024870701,0.030368526,Robinson Department Store
BESIDEU,0.024870701,0.030368526,Robinson Department Store
BASEBALL,0.0448519,0.030100789,Robinson Department Store
PARK TOYS,0.0345701,0.029910915,Robinson Department Store
FEERIQUE,0.03478197,0.029790998,Robinson Department Store
LAFEE,0.034916304,0.029790998,Robinson Department Store
BLUE CORNER,0.028367737,0.027848288,Robinson Department Store
BOVY,0.027256526,0.024858586,Robinson Department Store
ULTIMA II,0.03358904,0.024752352,Robinson Department Store
MELLOW PLANET,0.019263132,0.018900946,Robinson Department Store
ARENA,0.021882169,0.018250093,Robinson Department Store
BENICIO,0.019675935,0.015690885,Robinson Department Store
GRACO,0.012505552,0.012472298,Robinson Department Store
THOMPSON,0.015257627,0.008729726,Robinson Department Store
TTN,0.011876241,0.006294988,Robinson Department Store
HATCHIMALS,0.009507741,0.0055064186,Robinson Department Store
SOM,0.007280842,0.0037036277,Robinson Department Store
