Tenant,CompositeScore,GNN_Prediction,Category
VERONIQA,0.112314776,0.07425384,Central Department Store
HEDGREN,0.051122565,0.07094039,Central Department Store
JOOLZ,0.047976665,0.06972033,Central Department Store
BOSCH SM,0.056783013,0.06820323,Central Department Store
JESSUP BEAUTY,0.051902886,0.06715363,Central Department Store
TAW&TOE,0.061326105,0.06671953,Central Department Store
AMBER,0.061326105,0.06671953,Central Department Store
KAWAI,0.061326105,0.06671953,Central Department Store
CAMPER,0.061326105,0.06671953,Central Department Store
CHARLOTTE TILBURY,0.061326105,0.06671953,Central Department Store
GUCCI BEAUTY,0.061326105,0.06671953,Central Department Store
CLICK GLASSES,0.061326105,0.06671953,Central Department Store
CITY MODE,0.08810813,0.06600099,Central Department Store
NEEDLEWORLD,0.10425267,0.06561116,Central Department Store
NEWRAY,0.061961953,0.06302455,Central Department Store
TIFFANY&CO,0.09842852,0.062104035,Central Department Store
MA CHANDELLE,0.06391196,0.061962154,Central Department Store
USMILE,0.06391196,0.061962154,Central Department Store
YOUNG TOYS,0.055864304,0.06130185,Central Department Store
SPEEDGEAR,0.097341664,0.059728414,Central Department Store
JAY CHIU,0.09040987,0.058459528,Central Department Store
CASEHARDEN,0.08835049,0.057433456,Central Department Store
SUKHO,0.049019363,0.056648806,Central Department Store
C&D,0.04665229,0.056391306,Central Department Store
REEBOK,0.05636043,0.055925388,Central Department Store
KITCHENAID,0.063717835,0.05575317,Central Department Store
CHAT,0.063717835,0.05575317,Central Department Store
AJMAL,0.063717835,0.05575317,Central Department Store
MOB,0.06317819,0.054869894,Central Department Store
JANSPORT,0.06371553,0.05486989,Central Department Store
TOMMY JEANS,0.054462478,0.05448586,Central Department Store
BABY BJORN,0.054462478,0.05448586,Central Department Store
PROFESSIONAL WATCH SERVICE,0.07532586,0.054231003,Central Department Store
HANABISHI,0.06584186,0.054057006,Central Department Store
SSOLE,0.05457047,0.052321173,Central Department Store
CRAZY&CRAZY,0.055915803,0.051278867,Central Department Store
GAZE,0.07117093,0.051219277,Central Department Store
CERES,0.0602668,0.05074026,Central Department Store
ZODIA,0.03422435,0.050678097,Central Department Store
VALENTINO,0.03422435,0.050678097,Central Department Store
MICRO,0.03422435,0.050678097,Central Department Store
TANWA,0.034358688,0.050678097,Central Department Store
THAI TIME,0.03422435,0.050678097,Central Department Store
LITTAL LADY,0.03422435,0.050678097,Central Department Store
BLING20,0.03422435,0.050678097,Central Department Store
ELEPHANT PARADE,0.03422435,0.050678097,Central Department Store
AETREX,0.055267453,0.049833138,Central Department Store
KATE,0.057087418,0.048795212,Central Department Store
TIME SERVICE,0.047286693,0.046141364,Central Department Store
LITTLE EDEN,0.02901518,0.045921262,Central Department Store
SHIN CHAN,0.02901518,0.045921262,Central Department Store
CHATUPORN,0.02901518,0.045921262,Central Department Store
OCEAN TOYS,0.02901518,0.045921262,Central Department Store
HERMES,0.02901518,0.045921262,Central Department Store
LEGO LITE,0.02901518,0.045921262,Central Department Store
SCHOTT ZWIESEL,0.02901518,0.045921262,Central Department Store
SANDRO,0.02901518,0.045921262,Central Department Store
MIFFY,0.02901518,0.045921262,Central Department Store
GIVENCHY,0.02901518,0.045921262,Central Department Store
SAISAMORN,0.04672481,0.041971445,Central Department Store
MEGA BLOCKS WD,0.03340225,0.04103811,Central Department Store
